"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"GGT5",6.21102389870291,0.508,1.65401530183837,0.508,0.999999999615482,0.508,38.5768178702586,0.508,10.6037030745711,0.508,5.02211262462135,0.508,1.98578369442448e-05,1,9.52380952380952e-05,1,0,1,0,1,0,1,0.50998474130035,0.508,4.41573508532381,1
"HRH4",0.426904018797987,1,2.61265896561192,1,0.992068905585887,1,0.18224704126587,1,17.2243927297435,1,0.360185147464259,1,3.27454609775363e-07,1,0,1,0,1,0,1,0,1,0.369294002853807,1,1.8834521892073,1
"BANK1",1.65907400344518,0.508,5.28937956584262,0.508,0.156924831096646,0.508,2.75252654890762,0.508,31.3914557499575,0.508,0.196944717671436,0.508,6.6681635778072e-05,1,-0.000228070175438596,1,0,1,0,1,0,1,0.340684701965396,1,1.38035839310695,1
"THBS1",1.72679712681488,1,3.6877893603703,1,0.999558714663653,1,2.98182831717613,1,6.93689485306608,1,0.0563255787108014,1,0.000236689827647128,1,0.000182194616977226,1,0,1,0,1,0,1,0.213164844150477,1,2.07569805860261,1
"IL2RA",1.95276395906036,1,6.21771434367545,1,0.925026789050926,1,3.81328707980511,1,0.0206386954306099,1,3.00556941633826,1,5.27848790485462e-06,1,0.000117647058823529,1,0,1,0,1,0,1,0.0199187731373721,1,0.743566638219477,1
"RNPEP",2.6222988956188,0,1.57205718583775,0,0.916712313661786,0,6.87645149796359,0,3.02726346186513,0,26.1653509147145,0,4.58390201871658e-07,1,0,0,0,1,0,1,0,1,0.273221444961526,0,2.97776991707012,1
"TRAM1",3.69990192116257,1,0.426843556100817,1,0.509618191165447,1,13.6892742262224,1,0.277475794122643,1,29.3142226340239,1,0.000111834732986476,1,0,1,0,1,0,1,0,1,0.164666447235138,1,0.0150608196815674,1
"ANKRD10",5.32767037961615,1,0.224548656368109,1,0.393452205707363,1,28.3840716738393,1,11.8878885680313,1,0.1295647061536,1,4.72065057491977e-06,1,0.00386093461585452,1,0,1,0,1,0,1,0.168609195221365,1,2.6580924684756,1
"LINC01094",5.16051823350963,0,3.47648071170963,0,0.999936270387337,0,26.6309484383853,0,3.1961950059453,0,4.00129205601093,0,9.98351185583939e-05,1,-0.000105263157894737,1,0,1,0,1,0,1,0.149129540323184,0,0.492188145727887,1
"BTBD19",0.378475085162464,1,5.16704821157829,1,0.999792218753631,0,0.143243390088731,1,0.493290300662477,0,2.99391664831168,1,1.32425468549482e-05,1,0,1,0,1,0,1,0,1,0.0277545869533396,1,1.24161452703912,1
"ADAM1A",2.1865297897802,1,1.94286810031267,1,0.999306328441415,1,4.78091252159623,1,15.0456089689146,1,24.0029653379607,1,4.96820830519279e-05,1,0.000545454545454545,1,0,1,0,1,0,1,0.473957880742297,1,1.049034851989,1
"COPG1",3.02808000406682,0,2.17762710206843,0,0.946042933683646,0,9.16926851102929,0,13.0140988618991,0,9.46786669563561,0,3.60766749426858e-06,1,0,0,0,1,0,1,0,1,0.0733877311025978,0,3.10368044377629,1
"PAQR8",3.50028456998855,1,0.377485474339265,1,0.907679302756647,1,12.2519920708999,1,3.73050789875998,1,14.5619989373351,1,2.15930131991262e-05,1,0.00157191299076479,1,0,1,0,1,0,1,0.367462942354054,1,0.955422198648684,1
"C8orf60",0.225769537597605,1,3.01784551107575,1,0.437072886432761,1,0.0509718841070422,1,2.86291829454731,1,26.3222608015268,1,4.15316985857696e-05,1,-0.000160869565217391,1,0,1,0,1,0,1,0.0346795944813662,1,1.95692356418128,1
"HN1",4.58488915756392,0,7.34047552649977,0,0.999913501707914,0,21.0212085871472,0,11.1298624086971,0,2.9672137250741,0,1.78459275209884e-05,1,0,1,0,1,0,1,0,1,0.342391172847828,0,0.789237326619549,1
"SCARB2",7.38207388784892,0,2.2947558372925,0,0.967654455593575,0,54.4950148856609,0,14.4328180737218,0,0.364487245001542,0,0.000198562372243761,1,0.000277056277056277,1,0,1,0,1,0,1,0.0216672610454321,0,0.0915367705906844,0.508
"TPSB2",2.30516474508884,1,5.21328929815511,1,0.278469020438119,1,5.3137845020005,1,0.134788517071514,1,25.2575195053223,1,0.000141610497025244,1,0.000285714285714286,1,0,1,0,1,0,1,0.370257834270661,1,0.168415934557249,1
